"country","city","date","orgname","orgurl","eventname","eventurl","cityengorlatlon"
"АВСТРАЛИЯ","Аделаида","17/11 14:00","Free Russia SA inc","","Нет войне","https://facebook.com/events/s/together-against-putin-and-war/1213663676411562/",""
"АВСТРАЛИЯ","Перт","17/11 12:00","Группа активистов","","Воскресенье у Аскалона. Память о Навальном","https://www.facebook.com/share/XQHuHt5KmaWwRa7Z/",""
"АВСТРАЛИЯ","Сидней","17/11 14:00","Svoboda Alliance NSW","https://www.facebook.com/SvobodaAllianceNSWInc?mibextid=LQQJ4d","Вместе против Путина и войны","https://www.facebook.com/share/188JBtMoeB/?mibextid=9l3rBW",""
"АВСТРИЯ","Вена","17/11 14:00","Russians Against War Vienna (RAW)","https://www.instagram.com/raw_vienna/","Нет Путину! Нет войне! Свободу политзаключённым!","https://fb.me/e/IvGdtMfqP",""
"АРГЕНТИНА","Буэнос-Айрес","17/11 14:00","Группа активистов чата «Нет войне»","https://t.me/freerussia_arg","Антивоенный марш 17 ноября","https://t.me/freerussia_arg",""
"АРМЕНИЯ","Ереван","17/11 15:00","Ковчег в Армении","https://t.me/theark_armenia","Митинг солидарности","https://t.me/theark_armenia/898",""
"БОЛГАРИЯ","Бургас","17/11 12:00","Группа активистов","-","За Подкрепа на Украйна!","https://www.facebook.com/share/15W2Vvewtj/?mibextid=9l3rBW",""
"БОЛГАРИЯ","Варна","17/11 13:00","За свободную Россию! Болгария.","https://www.facebook.com/groups/452463739680309/?ref=share","Победу Украине! Свободу России!","https://www.facebook.com/share/ueRfr9XDYfw9USh1/",""
"БОЛГАРИЯ","София","17/11 15:00","Свободные россияне в Болгарии","","Митинг в подкрепа на Украйна","https://www.facebook.com/share/19mqi5WTZ8/",""
"ВЕЛИКОБРИТАНИЯ","Лондон","17/11 13:00","Russian Democratic Society","https://www.rusdemsociety.co.uk/","1000 дней Войны, 9000 дней Режима","https://facebook.com/events/s/1000-%D0%B4%D0%BD%D0%B5%D0%B8-%D0%B2%D0%BE%D0%B8%D0%BD%D1%8B-9000-%D0%B4%D0%BD%D0%B5%D0%B8-%D1%80%D0%B5%D0%B6%D0%B8/576827631427172/","London"
"ВЕЛИКОБРИТАНИЯ","Манчестер","17/11 13:00","Группа активистов","https://www.facebook.com/groups/783984373196339/?ref=share","Anti-War Rally against Vladimir Putin","https://www.facebook.com/share/1DMJrevsPB/",""
"ВЕЛИКОБРИТАНИЯ","Эдинбург","17/11 13:00","Voices for Russian Democracy","https://t.me/voicesforrussiandemocracy/","Акция против Путина и войны","https://t.me/voicesforrussiandemocracy/12",""
"ГЕРМАНИЯ","Берлин","17/11 14:00","Demokrati-JA e. V.","https://www.demokrati-ja.org/home-en","Nein zu Putin! Nein zum Krieg! Freiheit für politische Gefangene!","https://www.instagram.com/p/DCMF9oDiuv7/?igsh=ODI0bnkxMTIydHBs",""
"ГЕРМАНИЯ","Бремен","17/11 14:00","Антивоенное сообщество россиян*ок в Бремене","https://t.me/+TVg1TWxRVIhiY2Uy","Акция солидарности","https://t.me/c/1687853560/1/7333",""
"ГЕРМАНИЯ","Гёттинген","17/11 13:00","Russ*innen gegen Krieg Göttingen","https://www.instagram.com/russengegenkrieg_goettingen/profilecard/?igsh=MXU4dm94NTh2aXIzag==","Nein zu Putin! Nein zum Krieg! Freiheit für politische Gefangene!","https://www.instagram.com/p/DCSNNtZC8VG/?igsh=ZnFpNjFpdDVsdHVo",""
"ГЕРМАНИЯ","Дюссельдорф","17/11 14:00","Freies Russland NRW","https://de-de.facebook.com/NRWFreiesRussland/","Всемирная акция солидарности свободных россиян","https://fb.me/e/5HRXDTFLf",""
"ГЕРМАНИЯ","Мюнхен","20/11 18:00","Free Russians e.V.","www.freerussians.org","1000 дней войны в Украине","https://fb.me/e/552JRsDaL",""
"ГЕРМАНИЯ","Франкфурт","16/11 14:00","Группа активистов","https://t.me/frankfurt4freedom","Победу Украине, свободу России","",""
"ГРУЗИЯ","Батуми","17/11 14:00","Антивоенное сообщество «Россияне Батуми»","https://www.instagram.com/russiansbatumi/","1000 дней войны. Нет Путину! Нет войне!","https://t.me/russiansbatumi/1107",""
"ГРУЗИЯ","Тбилиси","17/11 13:00","Группа активистов","","Митинг солидарности с берлинским маршем. Тбилиси, просп. Ильи Чавчавадзе, 51","",""
"ДАНИЯ","Копенгаген","17/11 14:00","Danish Friends of a Democratic Russia","https://democraticrussia.dk/po-russki/","No to Putin, no to War, freedom to political prisoners!","https://www.facebook.com/share/18EYVm3uLy/?mibextid=K35XfP",""
"ИРЛАНДИЯ","Дублин","17/11 15:00","Free Russians Ireland","https://www.instagram.com/freerussians.dublin/","Антивоенная акция","https://russianireland.com/events/miting-1000-dnej-vojny-9000-dnej-putinskogo-rezhima/",""
"ИСПАНИЯ","Барселона","17/11 12:00","Asociación de Rusos Libres","https://t.me/rusoslibres","Нет Путину. Нет войне. Свободу политзаключённым!","https://t.me/rusoslibres",""
"ИСПАНИЯ","Валенсия","17/11 11:00","Asociación de Rusos Libres","https://t.me/rusoslibres","Акция в поддержку берлинского марша против Путина и войны.","https://t.me/rusoslibres/1402",""
"ИСПАНИЯ","Мадрид","17/11 16:00","Asociación de Rusos Libres","https://www.facebook.com/groups/526221162592220/?ref=share","Victoria para Ucrania, Libertad para Rusia","https://www.facebook.com/share/19i19mK257/",""
"ИСПАНИЯ","Малага","23/11 16:00","La Asociación de Rusos Libres","https://rusoslibres.eu, https://t.me/rusoslibres","1000 дней войны","https://t.me/rusoslibres/1452",""
"ИСПАНИЯ","Санта-Крус-де-Тенерифе","17/11 14:00","Группа активистов","","Против войны и путина, за свободу политзаключённых","https://fb.me/e/2BeVPwdut",""
"ИСПАНИЯ","Саламанка (Кастилья и Леон)","17/11 12:30","Русскоязычная Ассоциация Саламанки ""Новый Лермонтов""","https://t.me/nuevolermontov","Антивоенный митинг","https://t.me/nuevolermontov/143",""
"ИСПАНИЯ","Хихон","17/11 14:00","Группа активистов и Asociación de Rusos Libres","https://rusoslibres.eu/","Антивоенная акция","",""
"ИТАЛИЯ","Милан","17/11 14:30","Comunità dei Russi Liberi","https://instagram.com/comunita_dei_russi_liberi","Победу Украине! Свободу России!","https://www.facebook.com/share/17xrJRhoQk/?mibextid=9l3rBW",""
"ИТАЛИЯ","Милан","17/11 15:00","Russi Contro la Guerra","https://t.me/RussianAgainstWar_Italia","Россияне против войны","https://t.me/RussianAgainstWar_Italia/966",""
"ИТАЛИЯ","Рим","17/11 14:00","Группа активистов ""Russi contro la guerra Italia""","https://t.me/RussianAgainstWar_Italia","Победу Украине, Свободу России","https://t.me/RussianAgainstWar_Italia/968",""
"ИТАЛИЯ","Турин","17/11 15:00","Comunità dei Russi Liberi","https://www.facebook.com/groups/comunita.russi.liberi","Вместе против Путина и против войны","https://fb.me/e/5BUyCtnOF",""
"КАНАДА","Оттава","17/11 13:00","Russian Canadian Democratic Alliance","https://rcda.ca/","No to Putin! No to War! Free Political Prisoners!","https://www.facebook.com/events/1791681258270348/",""
"КАНАДА","Торонто","17/11 14:00","Группа активистов","","Антивоенный марш 17 ноября в Торонто","https://www.facebook.com/events/878660781000756/",""
"КИПР","Лимасол","17/11 13:00","Russians in Cyprus stand with Ukraine","https://www.facebook.com/nowarcy","1000 дней вторжения России в Украину","https://fb.me/e/3WAnUmbpX",""
"ЛЮКСЕМБУРГ","Люксембург","17/11 12:00","Группа активистов Люксембурга (Россия Будущего)","https://www.facebook.com/groups/1114323086599439/","Антивоенный антипутинский митинг","https://fb.me/e/3YoMI9mVg",""
"МЕКСИКА","Мехико","17/11 12:00","Группа активистов","","Поддержка акции Навальной, Яшина, Кара-Мурзы против Путинского режима","https://t.me/neputinMX",""
"НИДЕРЛАНДЫ","Амстердам","17/11 12:00","Stichting Free Russia NL","https://freerussia.nl/","1000 days of war","https://www.instagram.com/freerussia.nl",""
"НОВАЯ ЗЕЛАНДИЯ","Веллингтон","20/11 13:00 Группа активистов","Together Against the War","https://www.facebook.com/share/19YR3iteqb/","","",""
"НОВАЯ ЗЕЛАНДИЯ","Окленд","17/11 14:00","Russian Speaking Integrity Alliance NZ","https://www.instagram.com/rsianz/profilecard/?igsh=MTRvbW16bWxraWhncQ==","Вместе против путина и войны","https://facebook.com/events/s/%D0%B2%D0%BC%D0%B5%D1%81%D1%82%D0%B5-%D0%BF%D1%80%D0%BE%D1%82%D0%B8%D0%B2-%D0%BF%D1%83%D1%82%D0%B8%D0%BD%D0%B0-%D0%B8-%D0%B2%D0%BE%D0%B8%D0%BD%D1%8B-t/1239874543787985/",""
"НОРВЕГИЯ","Осло","17/11 14:00","СмоРодина: за демократию в России","https://smaaraadina.no/ru/","Вместе против путина и войны!","https://www.facebook.com/events/591143960104847",""
"ПОЛЬША","Варшава","17/11 13:00","Voice of Free Russia Warsaw","https://t.me/RussiansAgainstWarPolska","Нет Путину! Нет войне! Свободу политзаключённым!","https://www.facebook.com/events/953844480110471/",""
"ПОЛЬША","Катовице","17/11 15:00","Группа активистов","","Против путина. Против войны","https://facebook.com/events/s/17-%D0%BD%D0%BE%D1%8F%D0%B1%D1%80%D1%8F-%D0%BF%D1%80%D0%BE%D1%82%D0%B8%D0%B2-%D0%BF%D1%83%D1%82%D0%B8%D0%BD%D0%B0-%D0%BF%D1%80%D0%BE%D1%82%D0%B8%D0%B2/1737615920114454/",""
"ПОЛЬША","Краков","17/11 14:00","Port nadziei / Порт надежды","","Nie dla Putina! Nie dla wojny! Wolność więźniom politycznym!","https://facebook.com/events/s/krakow-nie-dla-putina-nie-dla-/1839780506428985/",""
"ПОРТУГАЛИЯ","Лиссабон","17/11 11:00","Associação de russos livres","https://adrl.pt","Вместе против Путина и войны","https://www.facebook.com/events/985159740036440/",""
"СЕРБИЯ","Белград","17/11 12:00","Российское демократическое общество в Сербии","https://t.me/RDO_Serbia","Берлинский марш и письма политзаключённым","https://t.me/RDO_Serbia/1945",""
"СЕРБИЯ","Белград","19/11 15:00","Российское демократическое общество в Сербии","https://t.me/RDO_Serbia","Акция в память о погибших украинцах ""1000 портретов""","https://t.me/RDO_Serbia/1942",""
"СЕРБИЯ","Нови-Сад","17/11 13:00","Российское демократическое общество в Сербии","https://t.me/RDO_Serbia","Берлинский марш и письма политзаключённым","https://t.me/RDO_Serbia/1945",""
"СЕРБИЯ","Нови-Сад","19/11 19:00","Российское демократическое общество в Сербии","https://t.me/RDO_Serbia","1000 дней войны, просмотр фильма ""20 дней в Мариуполе""","https://t.me/RDO_Serbia/1942",""
"США","Бостон","17/11 14:00","Boston for free Russia","https://www.facebook.com/groups/782826249255810","Антивоенный марш «Нет Путину! Нет войне! Свободу политическим заключённым!»","https://www.facebook.com/events/9185130511497176/",""
"США","Вашингтон","17/11 13:00","Russian America for Democracy in Russia, Washington DC","https://www.democracy4russia.org/","Победу Украине! Свободу России! - 1000 дней войны","https://www.facebook.com/events/1634294244144060/",""
"США","Ипсиланти","17/11 14:00","Группа активистов ""Мичиган за свободную Россию!""","https://www.facebook.com/groups/mifreerussia","Встреча и прогулка 17 ноября 2024","https://fb.me/e/5R1ip4ufI",""
"США","Кливленд","17/11 14:00","Команда Навального в Огайо","https://www.facebook.com/share/g/Cjv28arobBhEGdAv/?mibextid=K35XfP","Марш солидарности.","https://www.facebook.com/share/5RX2HnMJBvwxHUwE/?mibextid=9l3rBW",""
